
 Profile 1

 Sensors were turned on at  10/17/2015 03:00:02
 Vehicle began profiling at 10/17/2015 03:02:01

Date,[mA],[V],[dbar],Par[mV],scatSig,chlSig,CDOMSig
10/17/2015 03:28:15,393,10.9,54.150,0.00,100,74,71
10/17/2015 03:28:20,0,11.2,52.710,0.00,103,87,72
10/17/2015 03:28:25,396,11.0,51.200,0.00,96,85,70
10/17/2015 03:28:30,88,11.1,49.900,0.00,107,87,70
10/17/2015 03:28:35,176,11.0,48.450,0.00,97,92,73
10/17/2015 03:28:40,175,11.1,47.090,0.00,96,92,72
10/17/2015 03:28:45,359,11.0,45.630,0.00,100,93,70
10/17/2015 03:28:50,0,11.2,44.310,0.00,106,94,71
10/17/2015 03:28:55,278,11.0,42.960,0.00,106,98,72
10/17/2015 03:29:00,277,11.0,41.570,0.00,100,103,69
10/17/2015 03:29:05,168,11.0,40.140,0.00,97,108,69
10/17/2015 03:29:10,47,11.1,38.930,0.00,100,99,69
10/17/2015 03:29:15,31,11.1,37.460,0.00,111,111,68
10/17/2015 03:29:20,545,10.9,36.060,0.00,112,124,71
10/17/2015 03:29:25,3,11.2,34.680,0.00,122,139,72

 Ramp exit:    SMOOTH RUNNING
 Profile exit: TOP PRESSURE

 Vehicle motion stopped at 10/17/2015 03:29:28
 Sensor logging stopped at 10/17/2015 03:31:31
